Name,URL,Logo,Description,Contact,Ads Count
Classic Cars,/avtosalonlar/avtosalon-classic-cars,https://turbo.azstatic.com/uploads/f352x352/2023%2F09%2F28%2F14%2F04%2F34%2F3443e295-aeda-486f-b4b9-e58dd3f97188%2FClassiccarslogo.png,"Avtosalonumuzda klassik tərzdə zövqlə yığılan avtomobillər sizi gözləyir — onların yığılmasında yalnız orijinal ehtiyat hissələrindən istifadə olunub. Klassikanın ruhunu sevənlər üçün mükəmməl seçim! Bundan əlavə, geniş seçim imkanına malik ikinci əl avtomobillər də satışdadır. Ən yüksək keyfiyyətlə təqdim olunan avtomobillərin sahibi olun və unikal klassik abu-havanın dadını çıxarın!",(050) 805-05-52,12
China Favourite Cars,/avtosalonlar/avtosalon-china-favourite-cars,https://turbo.azstatic.com/uploads/f352x352/2024%2F08%2F28%2F17%2F07%2F22%2F0f91acd8-be1e-442f-9afa-a3d7dbcab8b7%2F26954_DWgEQQqRrb1W5yDQKFgsVA.jpg,"Elektrikli və hibrid avtomobillərin gələcəyini bizimlə kəşf edin! Ekoloji təmiz, qənaətli və güclü modellər sizi gözləyir. Gələcəyin sürüşü burada başlayır!","(070) 959-42-14, (050) 795-20-05, (099) 706-10-11, (010) 255-30-21",11
Badamdar Filialı,/avtosalonlar/avtosalon-badamdar-filiali,https://turbo.azstatic.com/uploads/f352x352/2024%2F01%2F19%2F13%2F34%2F14%2F0a56808f-3e69-4e09-ad92-08852bc93ecd%2F2.jpg,"""Badamdar Filialı"" tərəfindən avtomobillərə 10 il və ya 160.000 km zəmanət verilir. İkinci əl avtomobillərin alışı və satışı salonumuz tərəfindən təşkil olunur.","(050) 255-70-74, (055) 244-40-40, (055) 256-60-60",25
MM Auto Line,/avtosalonlar/avtosalon-auto-line,https://turbo.azstatic.com/uploads/f352x352/2025%2F07%2F21%2F12%2F32%2F16%2Fb723a272-faff-4102-8244-705f966f2936%2F4513_SdFmiiX51JZHxZnCDO0xMg.jpg,"""MM Auto Line"" uzun müddətdir ki Azərbaycan bazarında fəaliyyət göstərir. Bütün növ yeni və işlənmiş avtomobillərin satışı ilə müştərilərin xidmətindədir.","(050) 210-10-87, (055) 280-29-29",10
Neptun,/avtosalonlar/avtosalon-neptun,https://turbo.azstatic.com/uploads/f352x352/2025%2F03%2F13%2F13%2F13%2F48%2F1a02bfcf-a5f9-4d9b-bb2f-357d18a90366%2F710_n_84bQNwZvpGSEPPCvJ-ng.jpg,"Kosmik adımız olsa da, belə qiymətlərimiz hər zaman Yer kürəsi səviyyəsindədir. Qalan hər bir xidmət adımızla bağlıdır!","(077) 299-99-19, (077) 299-99-79",15
World Cars,/avtosalonlar/avtosalon-world-cars,https://turbo.azstatic.com/uploads/f352x352/2021%2F02%2F11%2F11%2F20%2F34%2Fbcda0d90-9042-4585-b312-2ddb6ce236dd%2Flogo.world.jpg,Dünyada seçilən yeni və işlənmiş avtomobil markaların satış mərkəzi.,"(050) 210-70-08, (050) 221-91-11",26
777 Cars Sumqayıt,/avtosalonlar/avtosalon-777cars,https://turbo.azstatic.com/uploads/f352x352/2017%2F10%2F07%2F10%2F12%2F02%2F683%2FIMG-20171006-WA0014.jpg,"""777 Cars Sumqayıt"" avtosalonu lider olaraq 15 ildən artıq fəaliyyət göstərir. Müştərilərimizin etimadını doğruldaraq halallıqla fəaliyyətimizi davam etdiririk.","(055) 370-78-78, (070) 370-78-78, (077) 370-78-78, (050) 370-78-78",30
Best Cars,/avtosalonlar/avtosalon-bestcars,https://turbo.azstatic.com/uploads/f352x352/2017%2F09%2F28%2F11%2F44%2F21%2F618%2Fbest%20car.jpg,Fəlsəfəmiz adımızda əks olunub.,"(055) 737-03-03, (055) 424-23-43, (055) 825-98-98",36
Otokoç Azerbaijan – İkinci əl,/avtosalonlar/avtosalon-otokoc-azerbaijan,https://turbo.azstatic.com/uploads/f352x352/2021%2F10%2F07%2F12%2F55%2F57%2F716b8b29-ad93-4943-b22c-cecab122ad89%2Fotokoc.png,"""Otokoç Azərbaycan"" MMC hüquqi və fiziki şəxslərə öz balansında olan, rəsmi servisdən alınmış və orijinal yürüşə malik avtomobillər təklif edir. Qiymətlərə ƏDV daxildir.",(055) 455-02-31,19
"Avtosalon ""900""",/avtosalonlar/avtosalon-900,https://turbo.azstatic.com/uploads/f352x352/2021%2F05%2F20%2F11%2F39%2F39%2F2e8ef1f8-a9b4-4c59-9a72-a45756542f0b%2Fphoto_2021-05-20%2011.39.30.jpeg,"Kredit və lizinq imkanı, sərfəli barter və yüksək qiymətə alış, satış və sifariş. Bunların hamısı tez və zəmanətli şəkildə!","(050) 204-17-17, (099) 474-77-77",21
TT 064 Cars,/avtosalonlar/avtosalon-tt-064-cars,https://turbo.azstatic.com/uploads/f352x352/2023%2F04%2F10%2F15%2F11%2F30%2Fb64272f2-f8f6-4e64-a344-8ed0678333e5%2FTT%20064%20CARS%20%281%29.jpg,"İstənilən növ avtomobillərin alışı, barteri, həmçinin cəlbedici şərtlərlə nağd, kredit və ya lizinq yolu ilə satışı.","(070) 608-64-64, (099) 608-64-64, (051) 327-64-64",27
SRJ Motors,/avtosalonlar/avtosalon-srj-motors,https://turbo.azstatic.com/uploads/f352x352/2024%2F06%2F24%2F16%2F04%2F22%2Fceea4ba9-f71c-4662-ae66-effba4002fc9%2Flogo%20%281%29.jpg,Çin brendlərinin hibrid və elektrik avtomobillərinin satış mərkəzi.,(055) 212-30-80,7
Car Era,/avtosalonlar/avtosalon-car-era,https://turbo.azstatic.com/uploads/f352x352/2024%2F11%2F25%2F11%2F59%2F20%2F27bdca31-fc12-492e-a6bf-54371071f79e%2F15247_eRuz4Do5pS0g3SY6jF6RZg.jpg,Biz avtomobillərin alqı-satqısı və barteri üzrə peşəkar xidmət göstəririk. Sərfəli kredit və barter şərtləri ilə tanış olmaq üçün sizi avtosalonumuza dəvət edirik.,"(055) 419-58-88, (050) 459-58-88, (012) 552-03-03",8
Hollywood Cars,/avtosalonlar/avtosalon-hollywood-cars,https://turbo.azstatic.com/uploads/f352x352/2023%2F01%2F10%2F17%2F33%2F42%2F45a3519c-da92-4866-a3be-0f3eb81d406d%2Fholygold.png,"Bütün növ yeni və işlənmiş avtomobillərin alışı, satışı, barteri, həmçinin kredit və lizinq imkanlarımız ilə müştərilərimizin xidmətindəyik.","(055) 835-04-04, (050) 835-04-04, (055) 836-04-04, (055) 211-18-40",66
500 Cars,/avtosalonlar/avtosalon-500,https://turbo.azstatic.com/uploads/f352x352/2021%2F05%2F20%2F12%2F53%2F54%2F8e736e04-6710-4a30-8905-26fc485c7c6c%2FPhoto_1621500790383.jpg,"Avtosalon ""500 Cars"" yalnız qüsursuz avtomobillərin satışı ilə məşğuldur. Müştərimiz bizim dostumuz olmasa, deməli xidmətimizdə qüsurumuz var.",(070) 231-11-00,34
"Avtosalon ""707""",/avtosalonlar/avtosalon-707,https://turbo.azstatic.com/uploads/f352x352/2021%2F05%2F20%2F17%2F35%2F41%2Faf35265b-b3f9-499e-8d9d-8c249c97f632%2FPhoto_1621517412751.png,Avtosalonumuz uzun müddətdir fəaliyyətdədir. Burada Siz ikitərəfli sərfəli şərtlərlə avtomobillərin alqı-satqısını həyata keçirə bilərsiniz!,"(070) 855-21-28, (050) 555-92-91, (050) 614-82-80, (055) 614-82-80",21
NEO Motors,/avtosalonlar/avtosalon-neo-motors,https://turbo.azstatic.com/uploads/f352x352/2023%2F12%2F22%2F11%2F30%2F12%2Feed53fda-6773-4fc4-b6ff-52d9eb2afb87%2Fneologo.jpg,"NEO Motors – Premium Çin avtomobillərinin çatdırılması və satışı. 5 ilə qədər zəmanət əldə etmək mümkündür. Servis və ehtiyat hissələri mövcuddur. Sim-kart quraşdırılması, proqramlar və dil yazılması mümkündür.","(050) 687-77-77, (070) 737-30-77, (050) 687-77-72",9
FF Avto,/avtosalonlar/avtosalon-ff,https://turbo.azstatic.com/uploads/f352x352/2024%2F01%2F20%2F12%2F08%2F26%2Fd70a379c-2e83-4303-ad6a-761c2f359ffa%2Fbadamdar%20filial%3B.jpg,"Avtosalon ""FF Avto"" minimal ilkin ödənişlə, 3 aydan 36 ayadək sərfəli kredit şərtləri ilə avtomobilləri təqdim edir.","(055) 399-54-53, (055) 388-54-53",31
"Avtosalon ""357""",/avtosalonlar/avtosalon-357,https://turbo.azstatic.com/uploads/f352x352/2021%2F05%2F20%2F15%2F27%2F02%2F395a6a6e-8dd2-4a15-be91-424d5f0b6742%2Fphoto_2021-05-20%2015.26.55.jpeg,"Hörmətli və dəyərli alıcılar, avtomobil seçimini peşəkarlara etibar edin! Yüzdən artıq müştərimiz ""357""-dən razıdır. Seçiminizi indi edin!",(050) 214-13-06,16
RZ Cars,/avtosalonlar/avtosalon-rz-cars,https://turbo.azstatic.com/uploads/f352x352/2024%2F10%2F08%2F09%2F51%2F37%2Fae40f808-61f8-4909-8efe-d6208ffcbf37%2F11375_qXr7-N1ppBcS2a5TEaxWRQ.jpg,"Hər bir müştəriyə avtomobil alışı, satışı və ya dəyişdirilməsi üçün rahat şərait təqdim etməyə çalışırıq. Təkliflərimizin etibarlılığını və əlçatanlığını qiymətləndirərək, özünüzə uyğun olan avtomobili tapın!",(055) 777-00-25,6
"Avtosalon ""444""",/avtosalonlar/avtosalon-444,https://turbo.azstatic.com/uploads/f352x352/2021%2F03%2F09%2F14%2F17%2F38%2F1113055e-ba85-4f99-8911-bb5818814b98%2FLOGO1.png,Avtosalonumuz 20 ildir fəaliyyət göstərir. Bizim avtosalonumuzda keyfiyyətli avtomobil almaqla yanaşı çox sərfəli qiymətlərlə öz avtomobilinizi sata və dəyişdirə bilərsiniz.,"(050) 322-02-15, (055) 322-02-15",14
China Auto Lənkaran,/avtosalonlar/china-auto-lankaran,https://turbo.azstatic.com/uploads/f352x352/2025%2F10%2F22%2F10%2F43%2F01%2F30ac4ad4-1b86-435d-a9cf-f3eb06f97f22%2F89649_IdiJWhN4F5E3SSESYyyqZg.jpg,"""China Auto Lənkaran"" yeni Çin avtomobilləri nağd, köçürmə, kredit və lizinq yolu ilə zəmanətlə satışını həyata keçirir.","(050) 405-35-05, (050) 868-38-67, (050) 262-92-91",11
AzCar Motors,/avtosalonlar/avtosalon-az-car-motors,https://turbo.azstatic.com/uploads/f352x352/2025%2F03%2F03%2F10%2F52%2F51%2Fdf43b7c9-6a8e-4591-9090-f659e0940fdf%2F710_n_84bQNwZvpGSEPPCvJ-ng.jpg,Zərif şəhər avtomobillərindən tutmuş güclü idman avtomobillərinə qədər kolleksiyamız müxtəlifliyi və keyfiyyəti özündə cəmləşdirir.,"(050) 555-00-15, (099) 900-00-15",45
Lüks Avto,/avtosalonlar/avtosalon-luks-avto,https://turbo.azstatic.com/uploads/f352x352/2020%2F03%2F19%2F14%2F07%2F16%2F57f24f6a-73ea-4287-9b66-421ee0a4715d%2Flogolusk.png,"""Lüks Avto"" – sərfəli kredit, lizinq, barter ve ekskluziv sifariş xidmətlərində etibarlı tərəfdaşınızdır!","(050) 314-44-20, (055) 314-44-20, (055) 308-37-27, (055) 308-37-27",21
Gold Cars 777,/avtosalonlar/avtosalon-gold-cars-777,https://turbo.azstatic.com/uploads/f352x352/2025%2F06%2F24%2F13%2F35%2F57%2Fb65a8878-3cbd-45e2-b979-a8238dc1a047%2F4513_SdFmiiX51JZHxZnCDO0xMg.jpg,"""Gold Cars 777"" avtosalonu sərfəli şərtlərlə avtomobillərin daxili kreditləşməsi, alışı, satışı və barteri xidmətlərini təklif edir.","(051) 583-83-30, (070) 680-83-30",83
BYD Motors Baku,/avtosalonlar/avtosalon-byd-motors-baku,https://turbo.azstatic.com/uploads/f352x352/2024%2F04%2F10%2F14%2F23%2F15%2Ff41b56f1-770d-4daa-ba1a-eabd9bad175c%2Fbydlogo.jpg,"""BYD Motors Baku"" Avtomobil Mərkəzi ""BYD"" avtomobillərinin Azərbaycana idxalı və servisi üzrə müştərilərə xidmət göstərir.","(012) 526-33-66, *3366, (051) 233-40-04, (010) 234-70-13",32
Electric Auto,/avtosalonlar/avtosalon-electric-auto,https://turbo.azstatic.com/uploads/f352x352/2023%2F06%2F27%2F13%2F48%2F56%2F85aed028-a59e-4d81-ad6b-5dd19fef00fa%2Flogo.jpg,Elektrik və Hibrid avtomobillərin satışı. Sifariş əsasında avtomobillərin 20 gün ərzində çatdırılması.,"(077) 470-40-40, (077) 480-40-40",26
Ağa Avto,/avtosalonlar/avtosalon-aga-avto,https://turbo.azstatic.com/uploads/f352x352/2023%2F02%2F08%2F17%2F14%2F02%2F84e1029d-b857-4f37-823c-6c8555952be0%2Flogogo.png,"Yeni fəaliyyətə başlamış ""Ağa Avto"" avtosalonumuz xidmətinizdədir. Məqsədimiz müştərilərə sərfəli və keyfiyyətli avtomobillər təklif etməkdir.","(077) 304-88-38, (055) 304-88-38",35
AA Cars,/avtosalonlar/avtosalon-aa-cars,https://turbo.azstatic.com/uploads/f352x352/2025%2F06%2F23%2F17%2F24%2F03%2F4627375b-f6cb-43ec-90f5-70de58093ef0%2F66008_-f1hpkebL9FYqnHCOa3oWQ.jpg,"Uzun illər fəaliyyət göstərən ""AA Cars"" avtosalonu istənilən zövqə uyğun avtomobillərin alqı-satqısı və barter xidmətləri göstərir.","(055) 308-00-07, (055) 369-44-55",38
Berlin Cars,/avtosalonlar/avtosalon-berlin-cars,https://turbo.azstatic.com/uploads/f352x352/2021%2F01%2F05%2F16%2F09%2F05%2F91d4f830-b573-432d-8994-da58991e7a46%2Flogog.png,"""Berlin Cars"" - avtomobillərin sərfəli şərtlərlə alqısı, satqısı, barteri, sifarişi, kreditlə və lizinq yolu ilə satışı xidmətlərini göstəririk.","(050) 600-77-11, (055) 600-77-11",29
Avto Cars 017,/avtosalonlar/avtosalon-avto-cars-017,https://turbo.azstatic.com/uploads/f352x352/2021%2F10%2F28%2F12%2F04%2F12%2F775610b2-48d3-43aa-b6d8-5499b59e1eb1%2F017.jpeg,"36 aya-dək AZN-lə sərfəli kredit. Geniş avtomobil çeşidi, keyfiyyətə zəmanət və rahat rəsmiləşdirmə.","(055) 509-99-77, (050) 509-99-77, (070) 509-99-77",77
SS Cars,/avtosalonlar/avtosalon-ss-cars,https://turbo.azstatic.com/uploads/f352x352/2021%2F10%2F07%2F12%2F59%2F01%2Fa0f3be1e-ae39-4af4-9a34-d82ec3f5eeb3%2Fsscars.png,"Hər növ avtomobillərin alqısı, satqısı, barteri, sifarişi, kredit və lizinq şərtlərini təklif edirik.","(050) 716-77-00, (055) 716-77-00",10
Baku Gallery,/avtosalonlar/avtosalon-baku-gallery,https://turbo.azstatic.com/uploads/f352x352/2022%2F08%2F09%2F11%2F09%2F55%2F91d47861-1d6d-4e23-a43e-9cefe1aea7c9%2Flogo%20%281%29.png,"Sərfəli şərtlərlə avtomobillərin alqı-satqısı, barter və lizinqi. Sizi avtosalonumuzda görməyə həmişə şad olacağıq.","(055) 212-27-27, (055) 261-04-88, (050) 261-04-88, (070) 261-04-88",15
101 Cars,/avtosalonlar/avtosalon-101-cars,https://turbo.azstatic.com/uploads/f352x352/2023%2F10%2F30%2F12%2F47%2F03%2F28e7961c-c731-4b14-99de-740df7c4cc50%2Flogooo.png,"""101 Cars"" avtosalonu müştərilərə yüksək keyfiyyətli xidmətlə daim seçilir. Bütün avtomobillər yalnız tam yoxlamadan keçdikdən sonra avtosalonumuzda satışa çıxarılır.",(055) 824-79-79,72
Motoclinic,/avtosalonlar/motosalon-motoclinic,https://turbo.azstatic.com/uploads/f352x352/2023%2F08%2F14%2F17%2F15%2F39%2F93b681a1-5082-425f-b209-dba6fcc873be%2FWhatsApp%20S%CC%A7%C9%99kil%202023-08-07%20saat%2015.15.48.jpg,"Motosikletlərin alışı, satışı, ehtiyat hissələri, təmir və tüninq xidmətləri. 30% ilkin ödəniş ilə 6, 12, 18 və 24 aylıq daxili kredit, tam sənədləşdirmə və nömrə hədiyyə.",(077) 398-00-33,8
S+ Cars,/avtosalonlar/splyuscars,https://turbo.azstatic.com/uploads/f352x352/2022%2F07%2F26%2F16%2F08%2F18%2F1ca6216a-c5f9-4642-b277-758c80098fb1%2Fscars.png,"""S+ Cars"" avtosalonu - 1994-ci ildən etibarən Azərbaycan və Dubayda avtomobil biznesində alıcıların etibarını qazanmaqdadır.",(050) 775-71-76,27
Avtoland,/avtosalonlar/avtosalon-avtoland,https://turbo.azstatic.com/uploads/f352x352/2017%2F09%2F26%2F16%2F34%2F24%2F197%2Flogo.png,"""Avtoland"" avtosalonu uzun müddətdir ki, fəaliyyət göstərir. ""Yüksək xidmət və keyfiyyət ən başlıca amalımızdır"" şüarıyla öz yolunu uğurla davam etdirir.","(055) 211-79-99, (050) 387-55-55",14
